post_id,post_type,post_theme,caption,timestamp,likes,shares,comments,time_spent_sec,hashtags,ctr_percent,age_group,region,device_type
1,static_image,celebrity,Market environmental hotel community end authority inside of discussion politics whether.,2024-01-23T19:19:05.287955,881,447,126,145,"['#cinema', '#cycling']",1.52,25-34,Luxembourg,tablet
2,carousel,business,Design party middle spend lose.,2024-02-21T14:57:45.287955,2693,437,764,283,"['#summerstyle', '#retro', '#reading']",8.0,35-44,Portugal,desktop
3,carousel,gaming,Summer name threat international two bank statement catch stuff population.,2024-03-02T22:47:14.287955,2312,138,701,184,['#language'],2.47,25-34,Cuba,mobile
4,static_image,motivation,Sign find music campaign.,2024-06-23T18:48:21.287955,2105,744,966,159,['#candid'],13.52,55-64,Mauritania,mobile
5,reel,travel,Speak control participant information rather shoulder consider who human structure anything available expert know.,2024-12-23T06:52:27.287955,64,756,969,22,['#fanart'],6.68,25-34,Mexico,desktop
6,static_image,education,Agent network miss reveal answer thousand concern team.,2024-01-27T23:14:29.287955,1894,425,758,152,"['#homemade', '#minimalism']",7.38,18-24,Italy,desktop
7,carousel,self_care,Far after character tree girl baby spend responsibility card style main public apply.,2024-02-19T08:22:23.287955,3878,923,736,272,['#fashion'],9.12,25-34,Cambodia,mobile
8,video,relationships,Above work able stand produce economic late.,2024-02-24T06:22:03.287955,835,925,455,147,"['#training', '#womensfashion', '#soccer']",9.11,35-44,Nigeria,desktop
9,carousel,fashion,Trouble compare after material there can computer.,2024-08-26T00:41:41.287955,4151,231,756,82,"['#winterfashion', '#software']",1.63,25-34,Barbados,mobile
10,carousel,diary,Six down plant five think cup.,2024-12-10T06:27:07.287955,1112,568,36,174,"['#growth', '#conservation', '#doglover', '#foodlover']",12.85,45-54,Barbados,mobile
11,video,books,Available shoulder couple kind month return trouble high.,2024-02-15T15:11:12.287955,1709,415,42,177,['#environment'],6.64,18-24,Estonia,mobile
12,video,trending,Fund under all break American benefit describe natural administration prove real.,2024-01-17T23:49:28.287955,3171,29,751,268,['#photoshoot'],4.28,65+,Vietnam,desktop
13,static_image,relationships,Dinner civil lot position final address away program your reach best ok onto indicate.,2024-07-19T10:17:24.287955,2521,948,652,229,"['#books', '#gamerlife']",0.64,35-44,Cuba,tablet
